Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,Con1,Con2,Con3,Con4,Con5,Con6,Con7,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8
20180702,5,32,M+T,C239,1,16,34,16.57,2,0,1,8,4,8,32,31,31,31.33,3,4,All H,3,0.375,0.38,1,22,37,49,69,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA
20180702,5,38,M+T,C245,2,17,15,17.25,0,0,3,8,4,8,31,31,32,31.33,8,3,All H,8,1,1,0.75,5,49,60,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
20180703,5,41,M+T,C267,1,18,56,18.93,0,0,3,7,5,7,32,32,32,32,7,4,All H,7,1,1,0.8,53,61,67,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
20180703,5,42,M+T,C263,1,19,54,19.9,0,0,9,5,1,5,33,34,33,33.33,5,1,All H,5,1,1,1,52,75,113,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA
20180610,4,2,M-only,C52,3,20,45,20.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180610,4,3,M-only,C51,1,22,16,22.27,0,0,0,0,15,15,29,30,29,29.33,NA,4,All H,4,0.266666667,NA,0.27,NA,NA,NA,NA,NA,NA,NA,58,103,121,269,NA,NA,NA,NA
20180610,4,4,M-only,C54,2,23,0,23,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,4,7,M-only,C60,1,21,44,21.73,0,0,0,0,15,15,29,29,20,26,NA,3,All H,3,0.2,NA,0.2,NA,NA,NA,NA,NA,NA,NA,63,65,84,NA,NA,NA,NA,NA
20180611,4,8,M-only,C61,1,22,28,22.47,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,NA,NA,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA
20180611,4,9,M-only,C59,2,0,1,0.02,0,0,0,0,15,15,29,30,30,29.67,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,4,13,M-only,C118,3,22,17,22.28,1,0,1,0,13,13,29,29,29,29,NA,2,All H,2,0.153846154,NA,0.15,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
20180618,4,14,M-only,C115,2,22,54,22.9,2,0,0,0,13,13,29,29,30,29.33,NA,2,All H,2,0.153846154,NA,0.15,NA,NA,NA,NA,NA,NA,NA,4,92,NA,NA,NA,NA,NA,NA
20180618,4,15,M-only,C117,1,23,11,23.18,0,0,0,0,13,13,29,29,29,29,NA,2,All H,2,0.153846154,NA,0.15,NA,NA,NA,NA,NA,NA,NA,55,87,NA,NA,NA,NA,NA,NA
20180621,4,18,M-only,C157,3,20,35,20.58,1,0,3,0,11,11,29,30,30,29.67,NA,6,All H,6,0.545454545,NA,0.55,NA,NA,NA,NA,NA,NA,NA,37,51,61,67,91,106,NA,NA
20180621,4,19,M-only,C156,2,21,11,21.18,0,0,1,0,14,14,29,29,29,29,NA,3,All H,3,0.214285714,NA,0.21,NA,NA,NA,NA,NA,NA,NA,54,179,NA,NA,NA,NA,NA,NA
20180621,4,20,M-only,C158,3,22,27,22.45,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,21,M-only,C160,1,22,45,22.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,22,M-only,C159,2,23,37,23.62,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA
20180628,4,33,M-only,C224,2,20,45,20.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
